name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15
rock,mineral,,,,,,,,,,,,,
bathrobe,,,,,,,,,,,,,,
ring,wedding ring,wedding band,,,,,,,,,,,,
ribbon,,,,,,,,,,,,,,
remote control,clicker,remote,,,,,,,,,,,,
lazy chair,recliner,chair,,,,,,,,,,,,
kid toy,toy,rattle,,,,,,,,,,,,
rake,stone rake,,,,,,,,,,,,,
radio,,,,,,,,,,,,,,
quilt,blanket,,,,,,,,,,,,,
pot,,,,,,,,,,,,,,
puzzle piece,puzzle,,,,,,,,,,,,,
plane,airplane,,,,,,,,,,,,,
pillow,,,,,,,,,,,,,,
pill,drugs,pill capsule,capsule,capsule or pill,capsule pill,,,,,,,,,
piggy bank,,,,,,,,,,,,,,
mug,coffee mug,cup,,,,,,,,,,,,
lure,fishing lure,fish hook,fish bait,fishing hook,bait,a little bass key chain ,fishing,hook,fishing bait,fishing tackle,fishing bait,fishing gear,bait and hooks,bait and hook
helmet,,,,,,,,,,,,,,
magnifying glass,magnify glass,magnified glass,,,,,,,,,,,,
cork screw,wine opener,wine bottle opener,corkpuller,,,,,,,,,,,
stove,wood stove,,,,,,,,,,,,,
can opener,,,,,,,,,,,,,,
pfd,life vest,life jacket,,,,,,,,,,,,
knot,rope,rope knot,knot or rope,,,,,,,,,,,
mop,,,,,,,,,,,,,,
glove,hand glove,,,,,,,,,,,,,
diamond,,,,,,,,,,,,,,
guitar,classical guitar,,,,,,,,,,,,,
drum,,,,,,,,,,,,,,
earring,,,,,,,,,,,,,,
flashlight,,,,,,,,,,,,,,
flask,,,,,,,,,,,,,,
fork,,,,,,,,,,,,,,
bobby pin,hair pin,,,,,,,,,,,,,
hammer,claw hammer,,,,,,,,,,,,,
purse,bag,,,,,,,,,,,,,
headphones,,,,,,,,,,,,,,
high heel,shoe,high heel shoe,heeled shoe,high heeled shoe,boots,womans shoe,,,,,,,,
marker,highlighter,,,,,,,,,,,,,
router,modem,wifi router,computer gadget,wireless router,,,,,,,,,,
hinge,door hinge,,,,,,,,,,,,,
hole punch,hole puncher,,,,,,,,,,,,,
jar,glass jar,mason jar,,,,,,,,,,,,
box,jewelry box,,,,,,,,,,,,,
eletric kettle,tea kettle,kettle,electric teakettle,,,,,,,,,,,
key,old key,skeleton key,,,,,,,,,,,,
key ring,key chain,,,,,,,,,,,,,
knife,cleaver,,,,,,,,,,,,,
ladle,,,,,,,,,,,,,,
lamp,,,,,,,,,,,,,,
ice tray,ice cube tray ,ice cube maker,,,,,,,,,,,,
axe,hachet,,,,,,,,,,,,,
lighter,bic,,,,,,,,,,,,,
crowbar,,,,,,,,,,,,,,
maskera,,,,,,,,,,,,,,
pen,,,,,,,,,,,,,,
egg beater,electric mixer,hand mixer,mixer,,,,,,,,,,,
moccosin,moccasin,slipper,shoes,mocison,mocassin,,,,,,,,,
monitor,computer,computer monitor,computer screen,,,,,,,,,,,
mouse trap,,fish hook,,,,,,,,,,,,
nail,,,,,,,,,,,,,,
nail clippers,finger nail clippers,finger clippers,nailcutter,nail trimmer,nailcutter,,,,,,,,,
nail polish,,,,,,,,,,,,,,
necklace,neckalce,bracelet,braclet,bracelate,bracelet,string of beads,,,,,,,,
notebook,spiral notebook,this could be anything but maybe notebook,,,,,,,,,,,,
binky,,,,,,,,,,,,,,
paint brush,brush,,,,,,,,,,,,,
paint roller,,,,,,,,,,,,,,
paint tray,tray,paint roller tin,,,,,,,,,,,,
pants,,,,,,,,,,,,,,
paper clip,clipper,,,,,,,,,,,,,
paper towel,paper towel roll,papertowelroll,,,,,,,,,,,,
bottle cap,,,,,,,,,,,,,,
athletic tape,ace bandage,crepe bandage,medical bandage,bandage,athletic wrap,gauze,first aid bandage,,,,,,,
christmas ornament,holiday ornament,,,,,,,,,,,,,
clipboard,exam board,bord,writingpad,,,,,,,,,,,
microscope,,,,,,,,,,,,,,
microphone,,,,,,,,,,,,,,
mailbox,,,,,,,,,,,,,,
lock,padlock,,,,,,,,,,,,,
lamp,lantern,,,,,,,,,,,,,
jacket,flannel,,,,,,,,,,,,,
vinyl,record,record disk,,,,,,,,,,,,
pen,fountain pen,ink pen,calligraphy pen,,,,,,,,,,,
fire hydrant,,,,,,,,,,,,,,
hose,water hose,,,,,,,,,,,,,
ladder,,,,,,,,,,,,,,
razor,shaver,,,,,,,,,,,,,
pliers,,,,,,,,,,,,,,
toilet,,,,,,,,,,,,,,
faucet,,,,,,,,,,,,,,
pipe,,,,,,,,,,,,,,
chest,,,,,,,,,,,,,,
scroll,,,,,,,,,,,,,,
tape,,,,,,,,,,,,,,
bellow,,,,,,,,,,,,,,
zip tie,,,,,,,,,,,,,,
bowling pin,,,,,,,,,,,,,,
bowtie,,,,,,,,,,,,,,
cheese grater,,,,,,,,,,,,,,
frame,,,,,,,,,,,,,,
axe,hachet,,,,,,,,,,,,,
hockey stick,,,,,,,,,,,,,,
hot air balloon,,,,,,,,,,,,,,
keyboard,,,,,,,,,,,,,,
lightbulb,,,,,,,,,,,,,,
light switch,,,,,,,,,,,,,,
tie,necktie,,,,,,,,,,,,,
paddle,oar,,,,,,,,,,,,,
outlet,socket,eletrical socket,,,,,,,,,,,,
paper bag,brown bag,lunch bag,,,,,,,,,,,,
screwdriver,,,,,,,,,,,,,,
screw,,,,,,,,,,,,,,
gaffing tape,tape,duct tape,,,,,,,,,,,,
pick axe,pick,,,,,,,,,,,,,
skateboard,longboard,,,,,,,,,,,,,
