name1,name2,name3,name4,name5,name6,name7,name8,name9,name10
box,jewelry box,,,,,,,,
eletric kettle,tea kettle,kettle,electric teakettle,,,,,,
key,,,,,,,,,
key ring,key chain,,,,,,,,
knife,,,,,,,,,
ladle,,,,,,,,,
lamp,,,,,,,,,
ice tray,ice cube tray ,ice cube maker,,,,,,,
axe,hachet,,,,,,,,
lighter,bic,,,,,,,,
crowbar,,,,,,,,,
maskera,,,,,,,,,
pen,,,,,,,,,
egg beater,electric mixer,,,,,,,,
moccosin,moccasin,slipper,shoes,mocison,,,,,
monitor,computer,computer monitor,computer screen,,,,,,
mouse trap,,fish hook,,,,,,,
nail,,,,,,,,,
nail clippers,finger nail clippers,,,,,,,,
nail polish,,,,,,,,,
necklace,neckalce,bracelet,,,,,,,
notebook,spiral notebook,this could be anything but maybe notebook,,,,,,,
binky,,,,,,,,,
paint brush,brush,,,,,,,,
paint roller,,,,,,,,,
paint tray,,,,,,,,,
pants,,,,,,,,,
paper clip,,,,,,,,,
paper towel,paper towel roll,,,,,,,,
bottle cap,,,,,,,,,
athletic tape,ace bandage,crepe bandage,medical bandage,bandage,athletic wrap,gauze,,,
christmas ornament,holiday ornament,,,,,,,,
clipboard,exam board,bord,,,,,,,
microscope,,,,,,,,,
microphone,,,,,,,,,
mailbox,,,,,,,,,
lock,padlock,,,,,,,,
lamp,lantern,,,,,,,,
jacket,flannel,,,,,,,,
vinyl,record,record disk,,,,,,,
pen,fountain pen,ink pen,calligraphy pen,,,,,,
fire hydrant,,,,,,,,,
hose,water hose,,,,,,,,
ladder,,,,,,,,,
razor,shaver,,,,,,,,
pliers,,,,,,,,,
toilet,,,,,,,,,
faucet,,,,,,,,,
pipe,,,,,,,,,
chest,,,,,,,,,
scroll,,,,,,,,,
tape,,,,,,,,,
bellow,,,,,,,,,
zip tie,,,,,,,,,
bowling pin,,,,,,,,,
bowtie,,,,,,,,,
cheese grater,,,,,,,,,
frame,,,,,,,,,
axe,hachet,,,,,,,,
hockey stick,,,,,,,,,
hot air balloon,,,,,,,,,
keyboard,,,,,,,,,
lightbulb,,,,,,,,,
light switch,,,,,,,,,
tie,necktie,,,,,,,,
paddle,oar,,,,,,,,
outlet,socket,eletrical socket,,,,,,,
paper bag,brown bag,lunch bag,,,,,,,
screwdriver,,,,,,,,,
screw,,,,,,,,,
gaffing tape,tape,duct tape,,,,,,,
pick axe,pick,,,,,,,,
skateboard,longboard,,,,,,,,
