pair1,pair2,list,subject,trial_study,trial_test,tType_study,tType_test,gonogo_answer
133,192,4,2,37,40,Binocular,Not Studied,go
157,33,4,2,47,38,CFS,CFS,go
59,79,4,2,38,37,Binocular,Binocular,go
154,176,4,2,46,45,Not Studied,CFS,go
89,72,4,2,41,44,CFS,Not Studied,nogo
119,7,4,2,39,48,Not Studied,Binocular,nogo
125,111,4,2,45,41,Binocular,CFS,go
139,14,4,2,48,42,Not Studied,Not Studied,go
64,107,4,2,40,46,CFS,CFS,nogo
43,44,4,2,43,39,CFS,Binocular,go
26,52,4,2,42,47,Not Studied,Not Studied,go
62,123,4,2,44,43,Binocular,Binocular,go
185,183,5,2,51,53,Binocular,CFS,go
72,89,5,2,53,50,CFS,CFS,go
170,172,5,2,52,55,Binocular,Binocular,go
151,97,5,2,54,52,Not Studied,Not Studied,go
124,100,5,2,50,49,CFS,Binocular,go
20,71,5,2,55,58,Not Studied,CFS,nogo
71,20,5,2,57,60,Binocular,Binocular,nogo
86,29,5,2,59,56,Not Studied,Not Studied,nogo
98,78,5,2,56,51,CFS,Binocular,go
159,162,5,2,49,57,CFS,CFS,go
144,140,5,2,58,59,Not Studied,Not Studied,go
181,184,5,2,60,54,Binocular,Not Studied,go
13,16,6,2,68,64,Binocular,Not Studied,go
103,11,6,2,70,68,CFS,Not Studied,nogo
129,166,6,2,63,67,Binocular,Binocular,go
140,144,6,2,69,65,Not Studied,CFS,go
150,156,6,2,65,72,CFS,Binocular,nogo
128,143,6,2,61,66,Not Studied,Not Studied,go
90,57,6,2,71,70,Binocular,CFS,nogo
162,159,6,2,66,63,Not Studied,Binocular,go
123,62,6,2,64,61,CFS,Binocular,go
7,119,6,2,67,62,CFS,CFS,go
73,68,6,2,72,69,Not Studied,CFS,go
165,45,6,2,62,71,Binocular,Not Studied,go
80,50,7,2,80,78,Binocular,Not Studied,go
44,43,7,2,76,81,CFS,CFS,go
31,47,7,2,73,77,Binocular,CFS,go
37,112,7,2,78,74,Not Studied,CFS,go
79,59,7,2,82,83,CFS,Not Studied,go
166,129,7,2,83,82,Not Studied,CFS,nogo
58,74,7,2,81,76,Binocular,Not Studied,go
99,56,7,2,77,73,Not Studied,Binocular,go
47,31,7,2,75,79,CFS,Binocular,go
74,58,7,2,84,75,CFS,Binocular,go
40,88,7,2,74,84,Not Studied,Binocular,nogo
167,126,7,2,79,80,Binocular,Not Studied,nogo
96,81,8,2,88,92,Binocular,Not Studied,nogo
137,28,8,2,92,86,CFS,CFS,go
76,113,8,2,89,93,Binocular,CFS,go
135,117,8,2,95,94,Not Studied,CFS,nogo
39,18,8,2,85,89,CFS,CFS,go
66,95,8,2,93,91,Not Studied,Binocular,go
145,15,8,2,87,95,Binocular,Not Studied,go
29,86,8,2,91,85,Not Studied,Binocular,go
156,150,8,2,94,96,CFS,Binocular,nogo
68,73,8,2,90,87,CFS,Binocular,go
23,53,8,2,96,90,Not Studied,Not Studied,go
115,118,8,2,86,88,Binocular,Not Studied,go
2,187,9,2,103,108,Binocular,Binocular,nogo
57,90,9,2,101,100,CFS,Not Studied,go
179,177,9,2,97,101,Binocular,CFS,go
126,167,9,2,99,102,Not Studied,Not Studied,go
112,37,9,2,102,107,CFS,Not Studied,go
33,157,9,2,107,105,Not Studied,CFS,go
100,124,9,2,106,98,Binocular,CFS,go
3,6,9,2,104,106,Not Studied,CFS,nogo
176,154,9,2,108,104,CFS,Not Studied,nogo
6,3,9,2,105,99,CFS,Binocular,go
28,137,9,2,100,103,Not Studied,Binocular,go
131,174,9,2,98,97,Binocular,Binocular,go
118,115,10,2,116,117,Binocular,CFS,go
34,4,10,2,113,110,CFS,CFS,go
146,147,10,2,115,113,Binocular,CFS,go
60,191,10,2,118,119,Not Studied,Not Studied,go
19,189,10,2,119,112,CFS,Not Studied,go
14,139,10,2,117,114,Not Studied,Not Studied,go
102,110,10,2,111,109,Binocular,Binocular,go
30,69,10,2,109,118,Not Studied,CFS,nogo
88,40,10,2,120,115,CFS,Binocular,go
15,145,10,2,110,111,CFS,Binocular,go
18,39,10,2,114,116,Not Studied,Not Studied,nogo
183,185,10,2,112,120,Binocular,Binocular,nogo
153,8,1,3,4,12,CFS,CFS,go
50,80,1,3,11,10,Not Studied,Not Studied,go
61,121,1,3,2,7,CFS,CFS,go
32,122,1,3,5,4,Binocular,Binocular,nogo
53,23,1,3,1,8,Not Studied,Binocular,go
143,128,1,3,7,11,Binocular,Binocular,go
141,155,1,3,10,6,CFS,Binocular,go
184,181,1,3,12,3,Binocular,CFS,nogo
172,170,1,3,9,5,Not Studied,Not Studied,go
56,99,1,3,3,2,Not Studied,Not Studied,go
8,153,1,3,8,1,Binocular,CFS,go
85,25,1,3,6,9,CFS,Not Studied,nogo
4,34,2,3,23,14,CFS,Not Studied,go
147,146,2,3,13,24,Not Studied,CFS,go
107,64,2,3,24,17,CFS,Not Studied,go
25,85,2,3,22,20,Binocular,Binocular,go
110,102,2,3,20,16,Not Studied,Binocular,nogo
177,179,2,3,14,23,Binocular,Binocular,go
16,13,2,3,15,18,CFS,Binocular,go
155,141,2,3,16,22,Binocular,Not Studied,go
81,96,2,3,19,13,Not Studied,CFS,go
161,163,2,3,17,19,Not Studied,CFS,go
45,165,2,3,21,15,Binocular,CFS,nogo
69,30,2,3,18,21,CFS,Not Studied,nogo
121,61,3,3,31,26,CFS,Not Studied,go
95,66,3,3,34,31,Not Studied,CFS,go
174,131,3,3,36,30,CFS,Binocular,go
117,135,3,3,28,35,Binocular,Binocular,go
122,32,3,3,33,25,Not Studied,CFS,go
113,76,3,3,26,27,Binocular,CFS,nogo
97,151,3,3,35,34,CFS,Not Studied,go
111,125,3,3,29,29,Binocular,Not Studied,go
163,161,3,3,32,28,Not Studied,Binocular,nogo
78,98,3,3,30,32,Not Studied,Binocular,go
52,26,3,3,27,36,Binocular,CFS,go
11,103,3,3,25,33,CFS,Not Studied,nogo
133,192,4,3,41,40,CFS,Binocular,nogo
157,33,4,3,37,41,Not Studied,Not Studied,go
59,79,4,3,39,48,CFS,CFS,go
154,176,4,3,40,38,Binocular,Not Studied,go
89,72,4,3,38,37,Not Studied,CFS,go
119,7,4,3,43,44,Binocular,Binocular,go
125,111,4,3,48,43,CFS,CFS,go
139,14,4,3,46,42,Binocular,Binocular,go
64,107,4,3,47,46,Not Studied,Not Studied,go
43,44,4,3,44,45,Not Studied,Not Studied,nogo
26,52,4,3,42,39,Binocular,CFS,nogo
62,123,4,3,45,47,CFS,Binocular,go
185,183,5,3,60,52,CFS,Binocular,nogo
72,89,5,3,49,57,Not Studied,Not Studied,nogo
170,172,5,3,58,58,CFS,Not Studied,go
151,97,5,3,54,54,Binocular,Binocular,go
124,100,5,3,53,51,Not Studied,CFS,nogo
20,71,5,3,57,60,Binocular,CFS,go
71,20,5,3,50,59,CFS,Binocular,go
86,29,5,3,55,50,Binocular,Not Studied,go
98,78,5,3,56,55,Not Studied,CFS,go
159,162,5,3,51,49,Not Studied,CFS,go
144,140,5,3,52,56,Binocular,Binocular,go
181,184,5,3,59,53,CFS,Not Studied,go
13,16,6,3,66,64,CFS,Binocular,nogo
103,11,6,3,70,65,Not Studied,Not Studied,go
129,166,6,3,61,66,CFS,Binocular,go
140,144,6,3,62,72,Binocular,CFS,go
150,156,6,3,63,70,Not Studied,Not Studied,go
128,143,6,3,65,69,Binocular,Not Studied,nogo
90,57,6,3,64,71,CFS,Binocular,go
162,159,6,3,68,63,Binocular,CFS,nogo
123,62,6,3,69,67,Not Studied,CFS,go
7,119,6,3,71,62,Not Studied,Not Studied,go
73,68,6,3,67,61,Binocular,CFS,go
165,45,6,3,72,68,CFS,Binocular,go
80,50,7,3,80,84,CFS,CFS,go
44,43,7,3,79,73,Not Studied,CFS,go
31,47,7,3,77,80,CFS,Binocular,go
37,112,7,3,83,75,Binocular,CFS,nogo
79,59,7,3,82,78,Not Studied,Binocular,go
166,129,7,3,84,74,Binocular,Not Studied,go
58,74,7,3,78,76,CFS,Binocular,nogo
99,56,7,3,76,81,Binocular,Not Studied,nogo
47,31,7,3,75,79,Not Studied,CFS,go
74,58,7,3,74,77,Not Studied,Not Studied,go
40,88,7,3,81,83,Binocular,Binocular,go
167,126,7,3,73,82,CFS,Not Studied,go
96,81,8,3,87,92,CFS,Binocular,go
137,28,8,3,93,94,Not Studied,Not Studied,go
76,113,8,3,94,91,CFS,CFS,go
135,117,8,3,96,85,Binocular,CFS,go
39,18,8,3,91,90,Not Studied,Binocular,go
66,95,8,3,92,86,Binocular,Not Studied,go
145,15,8,3,85,95,CFS,Binocular,go
29,86,8,3,89,96,Binocular,CFS,go
156,150,8,3,86,88,Not Studied,Binocular,nogo
68,73,8,3,95,87,Not Studied,CFS,nogo
23,53,8,3,88,93,Binocular,Not Studied,nogo
115,118,8,3,90,89,CFS,Not Studied,go
2,187,9,3,108,106,CFS,Not Studied,go
57,90,9,3,98,102,Not Studied,Binocular,go
179,177,9,3,103,108,CFS,CFS,go
126,167,9,3,104,100,Binocular,Binocular,nogo
112,37,9,3,105,97,Not Studied,CFS,go
33,157,9,3,100,104,Binocular,Binocular,go
100,124,9,3,101,103,CFS,CFS,go
3,6,9,3,106,107,Binocular,Binocular,go
176,154,9,3,107,99,Not Studied,CFS,nogo
6,3,9,3,97,105,Not Studied,Not Studied,nogo
28,137,9,3,99,98,Binocular,Not Studied,go
131,174,9,3,102,101,CFS,Not Studied,go
118,115,10,3,111,119,CFS,Binocular,go
34,4,10,3,120,109,Not Studied,CFS,go
146,147,10,3,114,111,CFS,CFS,nogo
60,191,10,3,109,114,Binocular,Binocular,go
19,189,10,3,115,117,Not Studied,Not Studied,nogo
14,139,10,3,113,112,Binocular,Binocular,nogo
102,110,10,3,110,118,CFS,Not Studied,go
30,69,10,3,118,115,Binocular,CFS,go
88,40,10,3,112,116,Not Studied,Binocular,go
15,145,10,3,117,110,Not Studied,Not Studied,go
18,39,10,3,116,120,Binocular,CFS,go
183,185,10,3,119,113,CFS,Not Studied,go
153,8,1,4,8,11,Not Studied,CFS,nogo
50,80,1,4,1,3,Binocular,Not Studied,go
61,121,1,4,2,10,Not Studied,Binocular,go
32,122,1,4,7,8,CFS,CFS,go
53,23,1,4,6,7,Binocular,Not Studied,nogo
143,128,1,4,10,6,CFS,CFS,go
141,155,1,4,11,1,Not Studied,Not Studied,go
184,181,1,4,4,9,CFS,Binocular,go
172,170,1,4,12,12,Binocular,Not Studied,go
56,99,1,4,9,5,Binocular,Binocular,nogo
8,153,1,4,5,4,CFS,CFS,go
85,25,1,4,3,2,Not Studied,Binocular,go
4,34,2,4,20,19,Not Studied,Not Studied,nogo
147,146,2,4,13,17,Binocular,Binocular,nogo
107,64,2,4,19,16,Not Studied,CFS,go
25,85,2,4,17,23,CFS,CFS,nogo
110,102,2,4,18,24,Binocular,Not Studied,go
177,179,2,4,14,15,CFS,Not Studied,go
16,13,2,4,21,13,Not Studied,Not Studied,go
155,141,2,4,24,14,CFS,Binocular,go
81,96,2,4,22,21,Binocular,Binocular,go
161,163,2,4,16,20,Binocular,CFS,go
45,165,2,4,23,18,CFS,CFS,go
69,30,2,4,15,22,Not Studied,Binocular,go
121,61,3,4,29,27,Not Studied,Not Studied,go
95,66,3,4,25,36,Binocular,Not Studied,go
174,131,3,4,27,32,Not Studied,CFS,go
117,135,3,4,28,30,CFS,CFS,go
122,32,3,4,30,35,Binocular,CFS,nogo
113,76,3,4,31,26,CFS,Binocular,go
97,151,3,4,32,34,Not Studied,Binocular,go
111,125,3,4,35,29,CFS,Binocular,nogo
163,161,3,4,36,33,Binocular,Binocular,go
78,98,3,4,34,28,Binocular,CFS,go
52,26,3,4,33,25,CFS,Not Studied,go
11,103,3,4,26,31,Not Studied,Not Studied,nogo
133,192,4,4,42,37,Not Studied,Not Studied,go
157,33,4,4,47,45,Binocular,Binocular,go
59,79,4,4,40,39,Not Studied,Not Studied,go
154,176,4,4,41,47,CFS,CFS,nogo
89,72,4,4,46,41,Binocular,Binocular,nogo
119,7,4,4,39,38,CFS,Binocular,go
125,111,4,4,45,44,Not Studied,CFS,go
139,14,4,4,48,40,CFS,CFS,go
64,107,4,4,38,43,Binocular,Not Studied,nogo
43,44,4,4,44,42,Binocular,CFS,go
26,52,4,4,37,48,CFS,Not Studied,go
62,123,4,4,43,46,Not Studied,Binocular,go
185,183,5,4,53,60,Not Studied,Not Studied,go
72,89,5,4,59,54,Binocular,CFS,go
170,172,5,4,50,51,Not Studied,Not Studied,go
151,97,5,4,51,53,CFS,Binocular,nogo
124,100,5,4,60,49,Binocular,Not Studied,go
20,71,5,4,52,56,CFS,CFS,go
71,20,5,4,57,50,Not Studied,Binocular,go
86,29,5,4,55,58,CFS,Binocular,go
98,78,5,4,58,59,Binocular,CFS,nogo
159,162,5,4,54,52,Binocular,CFS,go
144,140,5,4,56,57,CFS,Binocular,go
181,184,5,4,49,55,Not Studied,Not Studied,nogo
13,16,6,4,61,72,Not Studied,Not Studied,go
103,11,6,4,66,70,Binocular,Binocular,go
129,166,6,4,71,69,Not Studied,Binocular,go
140,144,6,4,70,65,CFS,Binocular,nogo
150,156,6,4,64,71,Binocular,CFS,nogo
128,143,6,4,72,68,CFS,CFS,go
90,57,6,4,67,67,Not Studied,Not Studied,nogo
162,159,6,4,69,66,CFS,CFS,go
123,62,6,4,65,63,Binocular,Not Studied,go
7,119,6,4,62,62,Binocular,Binocular,go
73,68,6,4,68,64,CFS,CFS,go
165,45,6,4,63,61,Not Studied,Not Studied,go
80,50,7,4,80,82,Not Studied,Binocular,go
44,43,7,4,79,75,Binocular,Not Studied,go
31,47,7,4,81,80,Not Studied,CFS,go
37,112,7,4,82,77,CFS,Binocular,nogo
79,59,7,4,74,76,Binocular,CFS,go
166,129,7,4,73,83,CFS,CFS,nogo
58,74,7,4,77,84,Not Studied,Not Studied,go
99,56,7,4,78,78,CFS,CFS,go
47,31,7,4,75,73,Binocular,Not Studied,go
74,58,7,4,83,81,Binocular,Binocular,go
40,88,7,4,76,74,CFS,Binocular,go
167,126,7,4,84,79,Not Studied,Not Studied,nogo
96,81,8,4,96,92,Not Studied,CFS,go
137,28,8,4,92,93,Binocular,Binocular,go
76,113,8,4,95,89,Not Studied,Binocular,nogo
135,117,8,4,87,91,CFS,Not Studied,nogo
39,18,8,4,86,90,Binocular,CFS,go
66,95,8,4,94,96,CFS,Not Studied,go
145,15,8,4,93,85,Not Studied,Not Studied,go
29,86,8,4,90,94,CFS,Binocular,go
156,150,8,4,91,88,Binocular,CFS,go
68,73,8,4,89,86,Binocular,Binocular,go
23,53,8,4,88,87,CFS,Not Studied,go
115,118,8,4,85,95,Not Studied,CFS,nogo
2,187,9,4,108,105,Not Studied,Binocular,go
57,90,9,4,104,106,Binocular,Binocular,go
179,177,9,4,99,103,Not Studied,Not Studied,nogo
126,167,9,4,98,97,CFS,Not Studied,go
112,37,9,4,102,108,Binocular,Not Studied,go
33,157,9,4,106,104,CFS,CFS,go
100,124,9,4,100,100,Not Studied,CFS,go
3,6,9,4,107,107,CFS,CFS,nogo
176,154,9,4,103,102,Binocular,CFS,go
6,3,9,4,97,99,Binocular,Not Studied,go
28,137,9,4,101,98,CFS,Binocular,go
131,174,9,4,105,101,Not Studied,Binocular,nogo
118,115,10,4,119,116,Not Studied,CFS,go
34,4,10,4,111,119,Binocular,CFS,nogo
146,147,10,4,117,109,Not Studied,Not Studied,go
60,191,10,4,118,115,CFS,Not Studied,nogo
19,189,10,4,113,113,Binocular,Binocular,nogo
14,139,10,4,115,112,CFS,CFS,go
102,110,10,4,116,114,Not Studied,CFS,go
30,69,10,4,112,110,CFS,Binocular,go
88,40,10,4,114,117,Binocular,Binocular,go
15,145,10,4,110,111,Binocular,Not Studied,go
18,39,10,4,109,120,CFS,Not Studied,go
183,185,10,4,120,118,Not Studied,Binocular,go
153,8,1,5,11,4,Binocular,Not Studied,go
50,80,1,5,6,5,CFS,CFS,go
61,121,1,5,5,10,Binocular,CFS,go
32,122,1,5,7,8,Not Studied,Not Studied,go
53,23,1,5,1,12,CFS,Binocular,go
143,128,1,5,4,11,Not Studied,Not Studied,go
141,155,1,5,3,1,Binocular,Binocular,nogo
184,181,1,5,10,9,Not Studied,CFS,go
172,170,1,5,8,2,CFS,CFS,nogo
56,99,1,5,9,7,CFS,Binocular,go
8,153,1,5,12,3,Not Studied,Binocular,go
85,25,1,5,2,6,Binocular,Not Studied,nogo
4,34,2,5,15,21,Binocular,CFS,go
147,146,2,5,19,18,CFS,Not Studied,nogo
107,64,2,5,24,16,Binocular,Not Studied,go
25,85,2,5,20,14,Not Studied,CFS,nogo
110,102,2,5,16,13,CFS,Binocular,nogo
177,179,2,5,22,22,Not Studied,CFS,go
16,13,2,5,23,15,Binocular,Binocular,go
155,141,2,5,21,20,Not Studied,Not Studied,go
81,96,2,5,17,23,CFS,Not Studied,go
161,163,2,5,18,24,CFS,Binocular,go
45,165,2,5,14,17,Not Studied,CFS,go
69,30,2,5,13,19,Binocular,Binocular,go
121,61,3,5,36,30,Binocular,Not Studied,nogo
95,66,3,5,35,28,CFS,Not Studied,go
174,131,3,5,31,36,Binocular,Binocular,go
117,135,3,5,29,31,Not Studied,Binocular,go
122,32,3,5,25,29,CFS,CFS,go
113,76,3,5,30,25,Not Studied,Binocular,nogo
97,151,3,5,33,35,Binocular,Not Studied,go
111,125,3,5,32,26,Not Studied,CFS,nogo
163,161,3,5,27,32,CFS,Not Studied,go
78,98,3,5,26,33,CFS,CFS,go
52,26,3,5,34,34,Not Studied,CFS,go
11,103,3,5,28,27,Binocular,Binocular,go
133,192,4,5,48,47,Binocular,Not Studied,go
157,33,4,5,46,39,CFS,Binocular,go
59,79,4,5,40,44,Binocular,Not Studied,go
154,176,4,5,42,45,Not Studied,CFS,go
89,72,4,5,39,40,CFS,Not Studied,go
119,7,4,5,41,46,Not Studied,CFS,go
125,111,4,5,47,42,Binocular,Not Studied,nogo
139,14,4,5,43,48,Not Studied,Binocular,go
64,107,4,5,37,38,CFS,CFS,nogo
43,44,4,5,45,43,CFS,Binocular,go
26,52,4,5,38,37,Not Studied,Binocular,nogo
62,123,4,5,44,41,Binocular,CFS,go
185,183,5,5,55,59,Binocular,Not Studied,go
72,89,5,5,56,58,CFS,CFS,go
170,172,5,5,50,52,Binocular,Not Studied,go
151,97,5,5,53,51,Not Studied,Binocular,go
124,100,5,5,49,54,CFS,Not Studied,nogo
20,71,5,5,60,53,Not Studied,CFS,go
71,20,5,5,59,49,Binocular,Binocular,nogo
86,29,5,5,52,60,Not Studied,Binocular,go
98,78,5,5,54,50,CFS,CFS,nogo
159,162,5,5,58,57,CFS,CFS,go
144,140,5,5,57,56,Not Studied,Not Studied,go
181,184,5,5,51,55,Binocular,Binocular,go
13,16,6,5,63,64,Binocular,Not Studied,go
103,11,6,5,70,61,CFS,Binocular,nogo
129,166,6,5,61,70,Binocular,CFS,go
140,144,6,5,67,72,Not Studied,Binocular,go
150,156,6,5,71,67,CFS,Binocular,go
128,143,6,5,65,71,Not Studied,Not Studied,go
90,57,6,5,64,65,Binocular,CFS,go
162,159,6,5,68,68,Not Studied,Not Studied,go
123,62,6,5,66,66,CFS,Not Studied,nogo
7,119,6,5,69,62,CFS,CFS,nogo
73,68,6,5,62,69,Not Studied,CFS,go
165,45,6,5,72,63,Binocular,Binocular,go
80,50,7,5,82,73,Binocular,Binocular,nogo
44,43,7,5,74,77,CFS,CFS,go
31,47,7,5,76,81,Binocular,CFS,go
37,112,7,5,78,74,Not Studied,CFS,nogo
79,59,7,5,79,76,CFS,Not Studied,go
166,129,7,5,73,82,Not Studied,CFS,go
58,74,7,5,75,75,Binocular,Binocular,go
99,56,7,5,80,79,Not Studied,Binocular,go
47,31,7,5,84,80,CFS,Not Studied,go
74,58,7,5,77,83,CFS,Not Studied,go
40,88,7,5,83,84,Not Studied,Binocular,go
167,126,7,5,81,78,Binocular,Not Studied,nogo
96,81,8,5,86,88,Binocular,Not Studied,go
137,28,8,5,95,86,CFS,CFS,nogo
76,113,8,5,90,89,Binocular,CFS,go
135,117,8,5,89,95,Not Studied,Not Studied,go
